D94.	Transformation: man to ogre.
H430.	Chastity index.
G303.9.7.4.	Devil disguised as man tells of trip to heaven and hell. Heaven is full of wretches who weep, fast, and pray. Hell is full of wealth, power, and good living. Nouvelles de Sens No. 5.   ## p. 331 (#349) ############################################  G. Ogres 331
G303.9.8.	Miscellaneous actions of the devil.
G303.9.8.1.	Devil spins and knits. English: Hunt Popular Romances 241.
G303.9.8.2.	Devil plays fiddle at wedding. Causes bad luck (kills bride- groom). Finnish: Aarne FFC XXXIII 40 No. 24; Estonian: Aarne FFC XXV 118 No. 24.
G303.9.8.3.	Devil sings (dances) on grave. Irish myth: *Cross.
G303.15.	Places haunted by the devil.
G303.9.8.4.	Devil causes salamander to appear in glass of rum, drinks it. U.S.: Baughman.
G303.9.8.5.	Devil engages in drinking contest with man for purse of gold. Gold causes man to become miser. England: Baughman.
G303.9.8.6.	Satan asks God to put man into his power (Job). Jewish: *Neuman.
G303.9.8.7.	Satan makes wager with God about mortal's piety. Jewish: Neuman.
G303.9.8.8.	Satan prays to God. Jewish: Neuman.
G303.9.8.9.	Satan chants songs of praise to God. Jewish: Neuman.
G303.9.8.10.	Satan weeps. Jewish: Neuman.
G303.9.8.11.	Satan as blasphemer. Jewish: Neuman.
G303.9.9.	Pranks played by the devil.
G303.9.9.1.	Devil prevents moving of little stone by sitting on it. Scala Celi 149b No. 823.
G303.9.9.2.	Devil interrupts mass by pretended battle. Scala Celi 22b No. 144; Alphabet No. 105.
G303.9.9.3.	Devil steals knight's cloak. Scala Celi 153a No. 844; Alphabet No. 620.
G303.9.9.4.	Devil takes an unbaptized child out of the cradle and lays a wooden log in its place. Finnish-Swedish: Wessman 14 No. 127; Lithuanian: Balys Index No. 3295, Legends Nos. 525ff.
F321.	Changeling.
G303.9.9.5.	Devil piles sand in ocean so that vessels may run aground. Finnish-Swedish: Wessman 17 No. 156. .
G303.9.9.6.	Devil leads and misguides people. Lithuanian: Balys Index No. 3332, Legends Nos. 459, 500, 557, 590, 640–49, 746ff., 759—75, 784, 797f., 800, 804.
F402.1.1.	Spirit leads person astray.
G303.9.9.7.	Trying all night to catch an animal (really devil). Lithuanian: Balys Legends Nos. 777–783.
G303.9.9.8.	Taking snuff with the devil. Lithuanian: Balys Legends Nos. 772, 785ff.
G303.9.9.9.	Devil challenges boys to play a disc-game. Can be defeated only with rowan-sticks. (Cf.
D950.9.	) Lithuanian: Balys Legends Nos. 653—658.
G303.9.9.10.	Exchanging things with the devil. The cheat appears later. Lithuanian: Balys Index No. 3302, Legends Nos. 437, 441, 559—77.   ## p. 332 (#350) ############################################  332 Motif-Index of Folk-Literature
G303.9.9.11.	The devil as tailor to a dandy. The dandy demands clothes sewed without thread. The devil disguised as a tailor makes them. In church the dandy's clothes fall to pieces, leaving him naked. Lithuanian: Balys Legends Nos. 685ff.
Q338.	Immoderate request punished.
G303.9.9.12.	Devil engages in horse race with man. U.S.: *Baughman.
G303.9.9.13.	Devil flies away with sentry box. England: Baughman.
G303.9.9.14.	Devil drinks church well dry at one draught. England: Baughman.
G303.9.9.15.	Devil stampedes horses of general. England: Baughman.
G303.9.9.16.	Devil takes place of girl man is embracing in private place. The man goes mad. England: Baughman.
G303.9.9.17.	Devil as crow misleads travelers, puts out their lights. England, U.S.: *Baughman.
G303.9.9.18.	Devil moves seats in church. Scotland: Baughman.
G303.9.9.19.	Devil plays marbles in church. England: Baughman.
G303.9.9.20.	Satan entangles ram's horns on the altar. Jewish: Neuman.
G303.9.9.21.	Satan liberates caught deer. Jewish: Neuman.
G303.10.	Allies and possessions of the devil.
K1955.6.	The sham physician and the devil in partnership.
G303.10.1.	Cat as follower of the devil. Fb IV 99a.
G303.10.2.	Toad as follower of the devil. Fb. IV 99a.
G303.10.3.	Snake as follower of the devil. Fb IV 99a.
G303.10.4.	Dancers as followers of the devil. (Cf.
G303.6.2.1.	)
G303.10.4.0.1.	Devil haunts dance halls. French Canadian: Sister Marie Ursule,
G303.10.4.1.	Devil dances with a maid until she dies. Finnish-Swedish: Wessman 10 No. 81; Lithuanian: Balys Index No. 3251, Legends Nos. 347, 353f.
G303.10.4.2.	Two devils come to a dance-loving maid and play when she bathes. Finnish-Swedish: Wessman 10 No. 82.
G303.10.4.3.	Devil teaches a dance-loving maid to dance. Finnish- Swedish: Wessman 10 No. 83.
G303.10.4.4.	Devil appears to girl who wants an escort for a dance. French Canadian: Sister Marie Ursule.
G303.10.4.5.	Devil dances with maid and puts his claws through her hands. French Canadian: Sister Marie Ursule.
G303.10.5.	Where the devil can't reach, he sends an old woman. (Cf.
K1085.	) *Type 1353; Wesselski Märchen 196.
G303.10.6.	Devil in league with a freemason. *Hdwb. d. Abergl. III 32; Finnish-Swedish: Wessman 13 No. 117; Lithuanian: Balys Index No. 3422, Legends Nos. 821ff.
X551.	Jokes on freemasons.   ## p. 333 (#351) ############################################  G. Ogres 333
G303.10.7.	Devil gives luck with fishing and hunting. Finnish-Swedish: Wessman 11 No. 91.
N120.	Determination of luck or fate.
G303.10.8.	Horses are offspring of the devil. One cannot trust them. Dh I 239; Lithuanian: Balys Legends Nos. 135, 153—159.
G303.10.9.	An all-red, all-black, or all-white calf the property of the devil. Dh I 188.
G303.10.10.	Lizards are offspring of the devil. Dh I 198.
G303.10.11.	The spurge-laurel is the devil's bush. Dh I 200.
G303.10.12.	The devil owns the reeds. Dh I 187.
G303.10.13.	Thistles and nettles are the devil's vegetables. Dh I 187.
G303.10.14.	The bagpipe is the devil's bellows. Dh I 189.
G303.10.15.	Devil has a hound. Irish myth: Cross.
G303.10.16.	Devil has a servant. Irish myth: Cross.
G303.10.17.	Bird as messenger of devil. U.S.: Baughman.
B291.1.1.2.	Raven as devil's messenger.
G303.10.18.	Angels of Satan. Jewish: *Neuman.
G303.10.19.	Devil's well. Argentina: Jijena Sanchez 112.
G303.11.	The relatives of the devil. Irish myth: Cross.
G275.1.1.	Witch carried off by devil's crew.
G303.12.4.	Devil visits woman and founds a family.
G303.11.1.	The devil's wife.
G303.11.1.1.	The devil's son is with his mother at night in his father's place. Type 1720*.
T412.	Mother-son incest.
G303.11.2.	The devil's son. Irish: O'Suilleabhain 35, Beal XXI 312f.
G303.11.2.1.	The devil and his son fight over division of the earth. Dh I 135.
G303.11.2.2.	The devil's children and grandchildren do his work for him. India: Thompson-Balys.
G303.11.3.	The devil's mother. Irish: Cross, O'Suilleabhain 92, Beal XXI 330.
G303.11.3.1.	Devil's mother rides a goat. Fb I 268, 439.
G303.11.4.	The devil's grandmother. **Lehmann Dania VIII 179ff.
A31.	Creator's grandmother.
G303.11.4.1.	Devil's grandmother keeps house for devil. Is an old wrink- led woman with red eyes who locks up hell. Fb I 268a; Japanese: Ikeda.
G303.11.4.2.	Devil's grandmother is bleaching when it snows. Fb I 268a.
A1135.2.1.	Snow from feathers or clothes of a witch.
G303.11.5.	The devil's daughter. Irish myth: Cross.
G303.11.5.1.	The devil and his nine daughters. Irish myth: Cross.   ## p. 334 (#352) ############################################  334 Motif-Index of Folk-Literature
G303.12.	Marital experiences of the devil. _(Cf. H1153,
K216.	1, K2325,
T251.1.1.	) Irish: Beal XXI 330; Spanish: Espinosa Jr. 91–93; Jewish: *Neuman.
G303.12.1.	Devil wooes an innkeeper's daughter. Wünsche Teufel 33.
G303.12.2.	Devil marries a widow who maltreats him. Wünsche Teufel 62f.
G303.12.3.	Devil marries old maid who proves to be a termagant and a miser. Wünsche Teufel 62.
G303.12.4.	Devil visits woman and founds a family. (Cf.
G303.11.	) Irish myth: Cross.
G303.12.5.	Devil marries girl.
G303.12.5.1.	Girl married to a devil. Despairing of ever finding herself a husband, the old maid exclaims: “I would marry even the devil, were he to marry me.” The devil takes her at her word. Lithuanian: Balys Index No. 3253, Legends Nos. 367ff.
C12.4.1.	Mother wishes lazy daughter may marry devil. Devil appears and marries her.
G303.12.5.2.	Devil marries disdainful girl; she escapes. U.S.: *Baughman.
G303.12.5.3.	Devil marries girl whose rich mother refuses to let her marty common young men of community. U.S.: Baughman.
G303.12.5.4.	Devil wooes woman; she discovers identity in time to escape with aid of minister who swallows candle after getting devil to pro- mise she could live as long as the candle lasted. (Cf.
K551.9.	) Scot- land: Baughman.
G303.12.5.5.	Girl married to devil escapes with answers to his riddles. Type 812; U.S.: Baughman.
G303.12.5.6.	Girl wooed by devil is saved by magic herb she wears. (Cf.
D1386.2.	) U.S.: Baughman.
G303.12.5.7.	Devil takes form of girl's lover and takes advantage of her. She meets lover on way home, learns what has happened, dies. Eng- land: Baughman.
G303.12.6.	Devil in guise of woman woos man. England, U.S.: *Baugh- man.
D658.3.	Transformation to female to seduce.
T332.	Man tempted by fiend in woman's shape.
G303.12.6.1.	Man marries a she-devil He catches her as succubus and marries. Some years later his wife's brothers invite them to a feast (wedding) and he gets gifts or wife's dowry. Lithuanian: Balys In- dex No. *424.
G303.12.7.	Devil's sexual relations with mortals. Jewish: Neuman.
G303.12.7.1.	Satan's sexual intercourse with Eve. Jewish: *Neuman.
G303.13.	The stupid devil. Missouri French: Carrière; **Wünsche Teufel; Danielsson Djävulgestalten i Finlands svenska Folktro (Helsingfors, 1930) 35; Spanish: Espinosa Jr. Nos. 82—84, 201; Jewish: Neuman.
G501.	Stupid ogre.
K210.	Devil cheated of his promised soul.
K483.	Color of devil's cows changed while he sleeps so that he does not know them.
Q565.	Devil is duped by smith.   ## p. 335 (#353) ############################################  G. Ogres 335
G303.13.1.	Devils do not know or understand thoughts of men. Swiss: Jegerlehner Oberwallis 329 No. 50.
G303.13.2.	Devil works backward. Begins building at top of house. Wünsche Teufel 52.
J1930.	Absurd disregard of natural laws.
G303.13.3.	Devil tries to wall in too large a piece of ground in a night and fails. Wünsche Teufel 70.
G303.13.4.	The devil tries to learn a trade; he fails miserably at all but versemaking. He now loiters in alehouses, sings songs. Scotland: Baughman.
G303.13.5.	Simple-minded devil indicates how he can be driven away. (Cf.
G303.16.	) India: Thompson-Balys.
G303.14.	Devil's unfinished work cannot be completed by human hands. One stone missing in church, etc. Wünsche Teufel 37f., 47, 51–56.
G303.14.1.	The devil destroys by night what is built by day. Wünsche Teufel 30; French: Sébillot France IV 46; Canada, England, Scotland: *Baughman.
C931.	Building falls because of breaking tabu.
D2192.	Work of day magically overthrown at night.
G303.14.1.1.	Devil destroys Adam's work by night. Dh ļ 238.
G303.14.2.	Devil builds bridge except for one stone. No one dares to add the final stone. England: Baughman.
G303.15.	Places haunted by the devil. Lithuanian: Balys Index No. 3440, Legends Nos. 833—850.
G303.9.8.3.	Devil sings (dances) on grave.
G303.15.1.	Devil haunts premises about to be visited by calamity. Scotch: Campbell Superstitions 292.
G303.15.2.	Granary now haunted because of devil's defeat. Wünsche Teufel 53f.
G303.15.3.	Devil haunts a house. Finally is exorcised. Lithuanian: Balys Legends Nos. 711–718.
E281.	Ghosts haunt buildings.
G303.16.14.	The devil exorcised.
G303.15.4.	Devils haunt tree. (Cf.
G312.3.	)
F441.2.	Tree-spirit.
G303.15.4.1.	Particular species of tree abode of devils. India: Thomp- son-Balys.
G303.15.5.	Ruins of a palace haunted by Satan. Jewish: Neuman.
G303.15.6.	Satan appears at a feast where the poor are absent. Jewish: Neuman.
G303.16.	How the devil's power may be escaped or avoided. Irish myth: *Cross; Finnish-Swedish: Danielsson 112.
D1385.19.1.	Saint's hose protects woman from devil.
G270.	Witch over- come or escaped.
G303.13.5.	Simple-minded devil indicates how he can be driven away.
G500.	Ogre defeated.
H543.	Escape from devil by answering his riddles.
K1781.	Threat to build church in hell.
K1955.6.	Sham physician and devil in partnership.
G303.16.1.	By the help of the Virgin Mary the devil may be escaped.   ## p. 336 (#354) ############################################  336 Motif-Index of Folk-Literature Scala Celi 111a, 119a, 120b Nos. 617, 657, 659; Irish: *Cross; O'Suillea- bhain 41, Beal XXI 315; Spanish Exempla: Keller. K 1841.3. Virgin Mary substitutes for woman whom husband has pledged to the devil.
S251.	Virgin Mary rescues child promised to devil.
G303.16.2.	Devil's power over one avoided by prayer. Fb I 267a; Scala Celi 132b, 137a, 149b Nos. 729, 764, 765, 823; Alphabet No. 591; Wünsche Teufel 44, 102; Irish myth: Cross; England: Baughman, Hunt Popular Romances 224; Finnish-Swedish: Wessman 14 No. 126; French: Sébillot France IV 126; Spanish Exempla: Keller; Jewish: *Neuman.
G303.16.2.1.	Devil cannot take one who has read the Pater Noster. Fb I 266b, 267a.
G303.16.2.1.1.	Devil cannot enter person who is thinking of God. Chere- mis: Sebeok-Nyerges.
G303.16.2.2.	Person saved from levil by prayer to Virgin. Scala Celi 122b, 124a, 134b Nos. 673, 677, 742; Köhler-Bolte II 613ff.
V254.4.	Devil exorcised by “Ave".
G303.16.2.3.	Devil's power avoided by blessing.
G303.16.2.3.1.	Man escapes devils by reading Lord's blessing. Finnish- Swedish: Wessman 9 No. 74.
G303.16.2.3.2.	Devil flees at pope's blessing. Dh I 175.
G303.16.2.3.3.	Devils disappear when priest blesses bread. Scala Celi 67a No. 370; Irish: Beal XXI 314, O'Suilleabhain 38.
G303.16.2.3.4.	A nun eating unblessed lettuce eats a demon. Gregory the Great Dialogues Bk I Ch. 4 (tr. Edmund Gardner, London, 1911) 17; *Krappe Bulletin Hispanique XXXIX 22; Alphabet No. 108; Spanish Exempla: Keller; Italian Novella: Rotunda.
G303.16.2.3.5.	Blessing reveals seemingly pure stream to be devil's trap which kills whoever drinks from it. Irish myth: Cross.
D1402.	Magic object kills.
G303.20.	Ways in which the devil kills people.
K1889.4.	Injurious food (drink) has delusive sweet taste.
G303.16.2.4.	Devils driven away by hymn (psalm). Irish myth: Cross; Jewish: Neuman.
V83.	Hymns.
G303.16.2.5.	Demon cannot hurt holy man or woman. India: Thompson- Balys.
G303.16.3.	Devil's power avoided by the cross. U.S.: Baughman.
V86.	Sign of the Cross.
G303.16.3.1.	Devils driven away by cross. Scala Celi Nos. 367, 392.
G303.16.3.2.	Devil cannot endure cross made by straps of knapsack. Type 1166*; Lithuanian: Balys Index No. *1168;: Russian: Andrejev No. 1166*; Estonian: Aarne FFC XXV No. 1166*.
G303.16.3.3.	Devils put to flight by cross made of leaves. Scala Celi No. 391.
G303.16.3.4.	Devil made to disappear by making sign of the cross. Dh I 48; Scala Celi 13a, 45a, 45b, 66, 67a, 67b, 70b, 77b Nos 77, 256, 257, 368, 369, 371, 372, 393, 394, 442; Pauli (ed. Bolte) 90; Crane Vitry 189 No. 131, 246 No. 263; Alphabet No. 64. — Irish: O'Suilleabhain 92, Beal   ## p. 337 (#355) ############################################  G. Ogres 337 XXI 330; Lithuanian: Balys Legends Nos. 642–645, 648, 650, 776, 786, 800, 825; French: Sébillot France I 160, II 403, IV 12; Spanish Exempla: Keller; Argentina: Jijena Sanchez 103; West Indies: Flowers 450.
G303.16.3.5.	Knight dismisses devil in name of cross. Scala Celi 127b No. 696; Pauli (ed. Bolte) No. 93.
P441.2.	Tailoring the only trade the devil cannot learn. He fails to knot thread because it would make the sign of the cross.
G303.16.3.6.	Devil made visible by making sign of cross. Irish myth: *Cross.
G303.16.4.	Words of religious comfort cause devil and his crew to vanish. England: Baughman, Hunt Popular Romances 218; Jewish: Neuman.
G303.16.5.	Administering sacrament destroys devil's power.
G303.16.5.1.	Chaplain administers sacrament and saves woman's soul from devil. Wünsche Teufel 37.
G303.16.5.2.	Devil disappears when offered host. Scala Celi 64b No. 353; Italian Novella: Rotunda.
G303.16.6.	Man is rescued from devil by baptism. Finnish-Swedish: Wessman 14 No. 131.
G303.16.7.	Devil is chased by holy water. Type 756B; Andrejev FFC LXIX 103; Irish: Cross, Beal XXI 313-315, 322, O'Suilleabhain 35, 38, 40, 56; Wales, U.S.: Baughman; Finnish-Swedish: Wessman 82 No. 676; Lithuanian: Balys Legends Nos. 639, 708, 715; French: Sébillot France IV 126; West Indies: Flowers 450.
D1242.1.2.	Holy water as magic object.
G303.16.8.	Devil leaves at mention of God's name. England, Ireland, Wales, U.S.: Baughman; Lithuanian: Balys Legends Nos. 651, 774f., 780, 814; Spanish: Boggs FFC XC 95 No. *817, Keller; Jewish: *Neu- man.
G303.16.9.	Devil is made impotent by confession. Scala Celi 422–46b Nos. 239, 241, 243, 245, 246, 249, 255, 260.
V29.8.	The devil goes to confessions.
G303.16.10.	Angels save person from the devil. Scala Celi 45a, 84a Nos. 253, 479, 660; Alphabet No. 178; Wünsche Teufel 42.
G303.16.11.	Various holy persons save one from devil.
G303.16.11.1.	Devil is driven out of a man by Peter. Dh I 170.
G303.16.11.2.	Devil prevented from revenge by pious priest. Wünsche Teufel 45.
G303.16.11.3.	Person chases the devil away. Devil says, “You also have stolen once.” Finnish: Aarne FFC XXXIII 40 No. 30; Estonian: Aarne FFC XXV 119 No. 30; Lithuanian: Balys Legends Nos. 706, 715.
