A1313.	Origin of sex-organs.
T211.	Faithfulness to marriage in death. Woman commits adultery to obtain aid for husband in battle. Irish myth: *Cross.
T455.3.	Woman sells favors for beautiful clothes. Italian: Basile Pen- tamerone IV No. 10.
T455.3.1.	Women sells favors for new shoes. (Cf.
K1357.	) Type 1731; Italian Novella: Rotunda.
T455.4.	Parents urge girl to trade her favors for truce with hostile warrior. Irish myth: *Cross.
T455.5.	Woman gives favors to pay for help across river. India: Thomp- son-Balys.
T455.6.	Woman sells favors for large sum of money (property). India: *Thompson-Balys.
T455.7.	Princess gives herself to Turks of her own accord in order to save her people. India: Thompson-Balys.
T456.	Bed-partner to receive payment from first man she meets in the morning. It so happens: she marries the man and he makes her wealthy. Greek: Roscher Lexikon s.v. "Acca".
T456.1.	
N125.4.	Districts named for first person met in each.
N700.	Accidental encounters.
T62.	Princess to marry first man who asks for her. Girl dares not receive gift from a man as it may be supposed to be payment for her favors. Icelandic: Lagerholm 21.
T457.	Sacred prostitution. *Penzer Poison Damsels 131ff.
T458.	Woman enjoys the ravishings of the enemy. Italian Novella: Ro- tunda.
T460.	Sexual perversions.
T461.	Person enamored of an object.
T117.	Marriage of person and object.
T461.1.	Woman enamored of a river. Greek: *Frazer Apollodorus I 82 n. 1.
T461.2.	Women cohabit with magic house pillars. Eskimo (Greenland): Rink 442, Rasmussen I 223.
T461.3.	Tree as wife. Koryak: Jochelson JE VI 367, 255, 275; Eskimo (Greenland): Rasmussen III 101; N. A. Indian: *Thompson Tales 304 n. 1090.
T462.	Lesbian love. Jewish: Neuman; India: Thompson-Balys. 25*   ## p. 388 (#392) ############################################  388 Motif-Index of Folk-Literature
T462.1.	Lesbian love: women give birth to monsters as result. India: Thompson-Balys; N. A. Indian (Navaho): Matthews MAFLS V 81, (Fox): Jones PAES I 151ff.
C101.	Sex tabu broken: child born without bones.
F112.	Journey to Land of Women.
T463.	Homosexual love (male). Icelandic: Corpus Poeticum Boreale I 137; Spanish Exempla: Keller; Italian Novella: Rotunda; Jewish: *Neuman; India: Thompson-Balys.
C113.	Tabu: sodomy.
K1843.2.4.	Wife substitutes for sodomist hus- band.
Q253.	Sodomy punished.
T465.	Bestiality. Intercourse of a human being and an animal. Irish myth: *Cross; Jewish: *Neuman, Leviticus 18: 23; Babylonian: Gil- gamesch-Epos VII; India: Thompson-Balys; West Indies: Flowers 578.
B23.1.	Minotaur.
B600.	Marriage of person to animal.
Q253.1.	Bestiality punished.
T465.1.	Sheep born with human head as a result of bestiality. Wienert FFC LVI 38f.
T465.2.	Foal born of Loki after dealing with mythical stallion. Icelandic: MacCulloch Eddic 90.
T465.3.	Homocentaurus born as a result of bestiality. Icelandic: *Bo- berg; Greek: Fox 61.
T465.4.	Children are spotted like leopards as result of bestiality. U.S.: Baughman.
T465.5.	Pig born with head like that of man as a result of bestiality. U.S.: Baughman.
T466.	Necrophilism: sexual intercourse with dead human body. Spanish Exempla: Keller; Jewish: *Neuman; India: Thompson- Balys.
E474.	Cohabitation of living person and ghost.
T16.2.	Man falls in love on seeing dead body of a beautiful girl.
T467.	The amorous bite. Penzer II 305.
T470.	Illicit sexual relations-miscellaneous motifs.
T471.	Rape. Irish myth: *Cross; Icelandic: *Boberg; Italian Novella: *Rotunda; India: Thompson-Balys.
C118.	Tabu: violating woman.
F304.4.	Mortal violates fairy woman.
J1174.	Clever decisions concerning kissing and rape.
M13.1.	Ruler has son beheaded for rape.
Q244.	Punishment for ravisher,
T471.0.1.	Fines imposed for rape. Irish myth: Cross.
T471.1.	Man unwittingly ravishes his own sister. (Cf.
N365.3.	) Finnish: Kalevala rune 35.
T471.2.	Wild man as ravisher of women. (Cf.
F567.	) Dickson 120 nn. 58 -60.
T471.3.	Husband sends wife poison to avoid having her ravished by the enemy. Italian Novella: Rotunda.
T314.1.	Father kills daughter lest she become the property of a tyrant.
T475.	Unknown (clandestine) paramour. Irish myth: Cross.
H58.	Tell-tale hand-mark. Clandestine lover is identified by paint marks left on his skin by his mistress.
H81.	Clandestine lover recog- nized by tokens.
H480.	Father tests. Tests as to who is unknown father of child.
Q256.	Death sentence for a clandestine lover of a princess.
T645.	Paramour leaves token with girl to give their son.   ## p. 389 (#393) ############################################  T. Sex 389
T475.1.	Unknown paramour discovered by string clue. Japanese: Ane- saki 341, Ikeda.
T475.2.	Hero lies by princess in magic sleep and begets child. Italian: Basile Pentamerone V No. 5; India: Thompson-Balys; Icelandic: Bo- berg.
D1960.	Magic sleep.
H81.1.	Hero lies by sleeping girl and leaves identi- fication token with her.
T475.2.1.	Intercourse with sleeping girl. India: Thompson-Balys.
T476.	Incognito mistress. King's mistress secretly becomes hero's with- out revealing identity. *Chauvin V 219 No. 129 n. 2.
T481.	Adultery. *Encyc. Religion Ethics s.v. "adultery"; Irish myth: *Cross; Icelandic: *Boberg; Jewish: *Neuman; India: Thompson- Balys; Eskimo (West Hudson Bay): Boas BAM XV 223, (Mackenzie Area): Jenness 87.
A112.8.	God from adulterous union.
A164.2.	Adultery among the gods.
A1556.3.	Origin of adultery.
B134.1.	Dog betrays woman's infidelity.
E263.	Adulteress returns from dead as devastating dragon.
E411.2.	Adulterous person cannot rest in grave.
F254.5.	Fairies commit adultery.
F345.2.	Supernatural person reveals marital infidelity.
J1146.	Detection by strewing ashes. Trespasser (lover, mistress, ghost, fairy, etc.) leaves footprints in the ashes.
K1500.	Deceptions connected with adultery.
N386.	Lover's wound breaks while he is in bed with mistress. He bleeds to death (or is discovered because of the blood).
Q241.	Adultery punished.
T230.	Faithlessness in marriage.
T247.	Object stolen (left) as token that infidelity has been discovered.
N339.11.	Woman commits suicide and suffocates baby unintentionally when she discovers her adultery.
T481.1.	Adulteress roughly treated by her lover. *Fischer-Bolte 217; India: Thompson-Balys.
T481.2.	Queen's illicit passion for diseased man. Penzer V 181, 183.
T481.2.1.	Queen commits adultery with low-born man. Africa (Fang): Einstein 162.
T481.3.	Adulteress sells self to devil for money. Scala Celi 112a No. 625.
T450.	Prostitution.
T481.4.	Wife seduces husband's servant (pupil). Irish myth: *Cross.
T481.5.	King takes subject's wife while her husband is sent away. Icelandic: *Boberg; Danish: Grundtvig No. 145.
T320.4.	Wife escapes lust of king by shaming him.
T481.6.	Queen begets son with duke while the king is in war. Icelandic: *Boberg.
T481.7.	Woman advises husband to kill guest, else she will make him chase husband and marry her instead. Icelandic: Boberg.
T482.	Day husband: night husband. Woman has two husbands: juggler at home only at night, robber only in day. They do not know about each other. (Similarly, day wife: night wife.) Chauvin V 254 No. 151 n. 1.
T484.	Maidservant given to lover's companion as bed-partner. (Cf.
T281.	) *Schoepperle I 254ff.; Irish myth: *Cross.
T485.	Fruit-picking time used for sexual promiscuity. India: Thompson- Balys.
T491.	Man has a son not his wife's; wife has a daughter not her hus- band's. Children become lovers. Irish myth: Cross.   ## p. 390 (#394) ############################################  390 Motif-Index of Folk-Literature
T492.	Queen makes all men who come to serve her copulate with her. India: Thompson-Balys.
T494.	Black nipples of girl's breasts reveal her loss of virginity. S. A. Indian (Chiriguano): Métraux RMLP XXXIII 154, 159. T500-
T599.	Conception and birth.
T500.	Conception and birth. *Rank Mythus von der Geburt des Helden; **Fellinger Schwangerschaft und Geburt in der altfranzösischen Literatur (Göttingen, 1907); **Hartland Primitive Paternity; *Hdwb. d. Abergl. II 806; McDaniel Conception, Birth and Infancy (Miami, Florida, 1948). Irish myth: Cross. -
A431.	God (goddess) of fertility.
A477.	Goddess of childbirth.
A511.	Birth and rearing of culture hero.
A1221.	Mankind from unusual primeval mating.
A1234.1.	Earth as virgin mother of Adam.
A1351.	Origin of childbirth.
A1560.	Origin of customs connected with birth.
B144.1.	King of fishes prophesies hero's birth.
B311.	Congenital helpful animal. Born at same time as master and (usually) by same magic means.
D1352.	Magic object has prenatal influence.
D1812.5.0.17.	Divination by choice of roads: which son to be born first.
F172.	No time, no birth, no death in otherworld.
F315.	Fairy predicts birth of child.
H493.	Virility test for husband.
J1270.	Repartee concerning the parentage of children.
J2063.	Distress over imagined troubles of unborn child.
M311.	Prophecy: future greatness of unborn child. -
T510.	Miraculous conception. *Type 516; *BP I 544; *Hartland Perseus I 71ff.; *Chauvin V 43 No. 18 n. 1; **Hartland Paternity; Hdwb. d. Abergl. II 808; *Frobenius Zeitalter des Sonnengottes I 223-263; *Rösch FFC LXXVII 96; Hdwb. d. Märchens I "Abstammung, wun- derbare"; Loomis White Magic 16. English: Wells 31 (Geoffrey's life of Arthour), 39 (Nennius' Historia Britonum), 42 (Arthour and Merlin), 101 (King Alisaunder); Breton: Sébillot Incidents s. v. "conceptions", RTP XV 471, 552, 597; Greek: *Frazer Apollodorus I 21 n. 5; Jewish: *Neuman; India: *Thompson-Balys; N. A. Indian: *Thompson Tales 323 n. 166e; S. A. Indian (Tupinamba): Métraux RMLP XXXIII 172. -
D1925.	Fecundity magically induced.
S223.	Childless couple promise child to the devil if they may only have one.
S271.	Sacrifice of child to remove barrenness.
V312.	Belief in Immaculate Conception.
T511.	Conception from eating. *BP I 544; *Hartland Perseus I 71ff.; Hdwb. d. Abergl. II 1032; Frobenius Zeitalter des Sonnengottes I 236ff., 250ff.; *Toldo I 337. Irish myth: *Cross; Jewish: Neuman, Gaster Oldest Stories 84; Egyptian: Müller 115; Indonesia: Dixon 236; Koryak: Jochelson JE VI 324, 380; Eskimo (Greenland): Rink 437, 444, (Bering Strait): Nelson RBAE XVIII 461, (Aleut): Golder JAFL XVIII 85, (Cumberland Sound): Boas BAM XV 248; N. A. In- dian: *Thompson Tales 323 n. 166h; S. A. Indian (Central Brazil): Ehrenreich Int. Cong. Americanists XIV 661.
A1411.2.	Theft of light by being swallowed and reborn.
B635.1.1.	Eaten meat of bear lover causes unborn son to have animal char- acteristics.
D1793.	Magic results from eating or drinking.
D1925.1.	Barrenness removed by eating or drinking.
J1532.1.	The Snow-Child. A sailor's wife bears a son in his absence and says that it came from eating snow. Later the husband makes away with the boy who, he says, melted in the sun.
T511.0.1.	Queen and maidservant conceive from eating same food. Their sons are like brothers. (Cf.
P311.4.	) Köhler-Bolte I 512; BP I 545.
T511.1.	Conception from eating a fruit. (Cf.
F611.1.8.	) *Type 301; *BP I 544; Chauvin V 43ff.; Gypsy: Aichele Zigeunermärchen 316; Turkish: Manzel Türkische Märchen II No. 7; India: *Thompson-Balys; Chin- ese: Eberhard FFC CXX 91; Indonesia: Verbeck Malaiische Erzähl-   ## p. 391 (#395) ############################################  T. Sex 391 ungen 139; S. A. Indian (Yunca): Alexander Lat. Am. 228, (Huaro- chiri): Métraux RMLP XXXIII 169.
T511.1.1.	Conception from eating apple. *Type 708; BP II 236; *Hdwb. d. Märchens I 91a n. 14; Chauvin VI 84 No. 252; *Fb "æble" III 1135b; Irish myth: *Cross; Icelandic: Boberg; India: Thompson-Balys.
D981.1.	Magic apple.
D1347.1.	Magic apple produces fecundity.
T511.1.2.	Conception from eating berry. Finnish: Kalevala rune 50.
T511.1.3.	Conception from eating mango. India: *Thompson-Balys.
T511.1.4.	Conception from eating orange. India: Thompson-Balys.
T511.1.5.	Conception from eating lemon. Africa (Kordofan): Frobenius IV 216ff. No. 19.
T511.1.6.	Conception from eating a peach. Chinese: Eberhard FFC CXX 103.
T511.2.	Conception from eating plant. French: Sébillot France III 528; Jewish: Neuman; India: Thompson-Balys.
T511.2.0.1.	Conception from eating root. India: *Thompson-Balys.
T511.2.0.2.	Conception from eating leaves. India: Thompson-Balys.
T511.2.1.	Conception from eating mandrake. (Cf.
D965.1.	) **Frazer Old Testament II 372ff.; Loomis White Magic 20.
T511.2.2.	Conception from eating watercress. Irish myth: Cross.
T511.3.	Conception from eating vegetable. India: Thompson-Balys.
T511.3.1.	Conception from eating peppercorn. Rumanian: *Schullerus FFC LXXVIII No. 315A, 327D*.
T511.3.2.	Conception from eating spinach. India: Thompson-Balys.
T511.4.	Conception from eating flower. Chinese: Eberhard FFC CXX 92, 108; Indonesia: v. Ronkel Catalogus Malaiische Handschriften te Batavia 153.
T511.4.1.	Conception from eating rose. Red rose brings boy, white rose a girl. Fb "rose" III 80a; Italian: Basile Pentamerone II No. 8.
T511.5.	Conception from eating animal.
T511.5.1.	Conception from eating fish. *Types 301, 705; *BP I 544; Irish myth: *Cross; Indonesia: Jeynboll Supplement Catalogus Sundanee- sche Handschriften 26; S. A. Indian (Tupinamba): Métraux MAFLS XL 158.
T511.5.2.	Conception from swallowing worm (in drink of water). *Schoepperle II 275, 277; MacCulloch Celtic 140; Irish myth: *Cross.
A1411.2.	Theft of light by being swallowed and reborn.
E607.2.	Person transforms self, is swallowed and reborn in new form.
T511.5.3.	Conception from eating louse. N. A. Indian: Kroeber JAFL XXI 224.
T511.5.4.	Conception from eating bird. India: Thompson-Balys.
T511.6.	Conception from eating parts of human being.
T511.6.1.	Conception from eating woman's heart. *DeVries FFC CX 217ff.; Icelandic: De la Saussaye 263.   ## p. 392 (#396) ############################################  392 Motif-Index of Folk-Literature
T511.6.2.	Conception from eating finger-bones. S. A. Indian (Bakairi): Alexander Lat. Am. 312, Lévi-Strauss BBAE CXLIII (3) 347.
T511.7.	Conception from eating food.
T511.7.1.	Conception after eating honey given by lover. S. A. Indian (Toba): Métraux MAFLS XL 157.
T511.7.2.	103. Pregnancy from eating an egg. Chinese: Eberhard FFC CXX 91,
T511.7.3.	Conception from eating meat. India: Thompson-Balys.
T511.8.	Conception from eating-miscellaneous.
T511.8.1.	Conception from swallowing a stone. Chinese: Eberhard FFC CXX 92.
T511.8.2.	Conception from eating medicines. India: *Thompson-Balys.
T511.8.3.	Conception from eating mess of fairy pottage. Irish myth: Cross.
T511.8.4.	Conception from eating grain (seed). India: *Thompson-Balys; Chinese: Eberhard FFC CXX 93.
T511.8.5.	Woman impregnated after accidentally partaking of crane's dung. India: Thompson-Balys.
T511.8.6.	Conception from swallowing a pearl. Chinese: Eberhard FFC CXX 92.
T512.	Conception from drinking. *BP I 544; *Hartland Perseus I 71ff.; *Penzer I 95 n. 2; *Schoepperle II 276; Irish myth: Cross; Hindu: Keith 166; Indonesia: Dixon 238 n. 52; Central Caroline Islands: ibid. 251; Eskimo (Bering Strait): Nelson RBAE XVIII 461.
T512.1.	Conception from drinking elixir from goat's horns. Penzer III 218.
T512.2.	Conception from drinking urine. Hdwb. d. Märchens I 85; Fro- benius Zeitalter des Sonnengottes I 226ff.; India: *Thompson-Balys; Chinese: Chavannes 500 Contes I 80 No. 23, II 283 No. 342, III 233 No. 453; Indonesia: De Vries Volksverhalen II 362 No. 110; Africa: Frobenius Atlantis II 57.
T512.2.1.	Child develops from man's urine. S. A. Indian (Mataco): Mé- traux MAFLS XL 132.
T512.3.	Conception from drinking water. Icelandic: Herrmann Saxo II 585, Boberg; India: *Thompson-Balys; Chinese: Eberhard FFC CXX 93 No. 51.
T512.3.1.	Conception from drinking holy water. (Cf.
